,episode_no,ep_name,topic0,topic1,topic2,topic3,topic4,character
14,"(3, 7)",Branch Closing,0.23816841628422283,0.0008409157669986651,0.07099217437261493,0.00014105613879044504,0.017230424296812027,dwight
13,"(3, 8)",The Merger,0.0013587836625206919,0.0008692398663057595,0.024302377144273617,0.000797781843796868,0.01302878225399775,dwight
19,"(3, 15)",Ben Franklin,8.121266159367868e-06,3.2216060076769254e-05,0.0007039868628218749,0.6423819550279466,4.0400076312899204e-06,dwight
18,"(3, 16)",Phyllis' Wedding,0.0005495535047650668,0.0007513078726884207,0.057937553152471025,0.0004288251437441389,4.1727628274000684e-05,dwight
16,"(3, 21)",Product Recall,0.003808709281483642,0.0014686295301371952,0.6539272415713725,5.301582758572677e-05,0.006393746666724129,dwight
15,"(3, 23)",Beach Games,0.02090980888952734,0.00028250989378803633,0.08430580349840648,0.0016895433665574191,0.9453963485911462,dwight
23,"(4, 1)",Fun Run (Parts 1&2),0.005332040999319441,0.9963646039082446,0.02611096641651215,0.000996159818039985,0.023475492909539392,dwight
22,"(4, 5)",Launch Party (Parts 1&2),0.007107459209683377,0.00047102301142016857,0.07216296861353735,0.9865295623654201,0.01107699024163711,dwight
28,"(4, 9)",Local Ad,0.003940665354833745,0.15991250691229075,0.07738218515087769,0.9992290188932134,0.029458297958564365,dwight
24,"(4, 11)",Survivor Man,0.9987122521144901,0.0010009133866181802,0.05873032691428905,0.012801607729530843,0.0179971805108829,dwight
27,"(4, 14)",Chair Model,0.07297083922176276,0.0004502830895749014,0.09761583648014653,0.006239319131146822,0.0030447818951493543,dwight
25,"(4, 16)",Did I Stutter?,0.0450744569532256,0.028909733314634912,0.0547433974260566,0.001353924848632828,0.034263185626867455,dwight
26,"(4, 18)","Goodbye, Toby (Parts 1&2)",0.018171513574874874,0.02010414030159238,0.2485801548919963,3.029039292065598e-05,0.03499996563653671,dwight
33,"(5, 1)",Weight Loss (Parts 1&2),0.0054932581899125275,0.0014324704166729905,0.06911558170226152,0.0020594531287252997,0.001207930115757638,dwight
38,"(5, 5)",Crime Aid,0.005110936848883664,0.0004813540341097597,0.05974010250266921,0.0105249677369556,0.023718151199749942,dwight
36,"(5, 6)",Employee Transfer,0.0009212327509087753,0.001427407316173486,0.06721258515931818,0.0032702171514550757,0.5264240231379385,dwight
31,"(5, 9)",Frame Toby,0.003556138052394132,0.00023038642637802234,0.03635729073674928,0.0005523687985431546,0.0038915652442854253,dwight
34,"(5, 10)",The Surplus,0.0014622426031371313,0.9979638719215315,0.03697106355657459,0.0007223632064419314,0.0038536911146769756,dwight
39,"(5, 11)",Moroccan Christmas,0.000762574104849403,0.00023337498211507983,0.03807810098662381,0.0020050912437144246,0.004230213620962631,dwight
30,"(5, 13)",Prince Family Paper,0.9770295468875049,0.00048014389429977935,0.06175593441621279,0.6820686588893762,0.006541961665859421,dwight
37,"(5, 18)",Blood Drive,0.0004850094021515736,8.753040295710456e-06,0.0007625345939247267,6.986709230419715e-05,0.00017500684965124298,dwight
41,"(5, 22)",Dream Team,0.006815155298760819,0.004443939447419962,0.9837500488521143,0.006962413797628895,0.02924912604622699,dwight
29,"(5, 24)",Heavy Competition,0.9827290626093902,0.0010520993403107754,0.060203532301404655,0.02020820541922316,0.010937064907904592,dwight
40,"(5, 25)",Broke,0.07063094165946071,8.553736296799437e-05,0.1176656897194129,0.0006857965715864212,0.009768113976465756,dwight
